Class,Specimen Number,Eccentricity,Aspect Ratio,Elongation,Solidity,Stochastic Convexity,Isoperimetric Factor,Maximal Indentation Depth,Lobedness,Average Intensity,Average Contrast,Smoothness,Third moment,Uniformity,Entropy,UniqueIdentifier
11,16,0.44882,1.0118,0.6301,0.57134,0.81053,0.16187,0.11115,2.2486,0.027309,0.088889,0.0078393,0.0022734,0.00017545,0.86,11016
32,2,0.87024,2.1094,0.52863,0.9836,0.99298,0.60784,0.0031737,0.0018332,0.026902,0.091391,0.0082832,0.0024385,0.00016093,0.73904,32002
27,2,0.66906,1.2751,0.30877,0.9877,1.0,0.85816,0.0048599,0.0042987,0.031488,0.094241,0.0088032,0.0025337,0.00019057,1.0378,27002
10,13,0.36127,1.0573,0.26213,0.93923,0.96667,0.59302,0.04962,0.44811,0.19067,0.28081,0.073089,0.023825,0.0012501,2.6604,10013
36,6,0.37522,1.1417,0.81725,0.68511,0.58772,0.12523,0.09186,1.5358,0.11488,0.20861,0.041703,0.013344,0.00082033,2.0281,36006
15,7,0.53693,1.0751,0.55667,0.74395,0.77544,0.27241,0.080278,1.1729,0.091322,0.16265,0.025773,0.007318,0.00080697,2.2704,15007
28,12,0.93323,3.222,0.69174,0.95791,1.0,0.48142,0.022654,0.093403,0.075307,0.17561,0.029915,0.011062,0.00039957,1.4215,28012
23,11,0.65048,1.2354,0.44987,0.90929,0.89123,0.57594,0.070699,0.9097,0.0093349,0.0592,0.0034924,0.0013047,2.2232e-05,0.26169,23011
24,6,0.58232,1.343,0.29271,0.95055,0.99825,0.71499,0.026876,0.13146,0.068134,0.13204,0.017136,0.0036798,0.0014697,1.6315,24006
14,3,0.91355,2.457,0.61108,0.97034,0.97544,0.5645,0.0077029,0.010799,0.092547,0.18786,0.034088,0.011708,0.00046097,1.8501,14003
8,10,0.986,6.1763,0.83942,0.97837,0.99298,0.31607,0.011769,0.025208,0.051048,0.13524,0.017961,0.0060176,0.0003128,1.166,8010
28,6,0.91996,2.6668,0.63083,0.97894,1.0,0.58002,0.010311,0.019349,0.1125,0.19785,0.037671,0.011205,0.00078875,2.2241,28006
2,1,0.93361,2.7582,0.64257,0.98346,1.0,0.59851,0.0055336,0.0055731,0.029712,0.089889,0.0080153,0.0020648,0.00023883,0.91499,2001
24,8,0.67925,1.487,0.33465,0.97307,0.98246,0.7713,0.012399,0.02798,0.0075996,0.044132,0.0019439,0.00049059,3.6857e-05,0.28857,24008
14,10,0.89507,2.2045,0.55605,0.97701,0.99649,0.64214,0.0053433,0.0051962,0.102,0.19598,0.036988,0.012562,0.00048437,2.0484,14010
31,9,0.99583,9.1366,0.92503,0.69234,0.90702,0.15101,0.17918,5.8432,0.0054072,0.044172,0.0019474,0.00070285,6.9241e-06,0.1694,31009
2,9,0.93062,2.8973,0.65828,0.98182,1.0,0.5795,0.0064894,0.0076645,0.023606,0.072237,0.005191,0.0011217,0.00025558,0.90513,2009
32,7,0.88485,2.2398,0.55754,0.97997,0.99825,0.67974,0.0091286,0.015166,0.025658,0.087206,0.0075476,0.0021518,0.00017873,0.75154,32007
31,1,0.99541,9.4912,0.91397,0.84991,0.97368,0.17429,0.082108,1.227,0.012512,0.060688,0.0036695,0.0010735,5.216e-05,0.41928,31001
22,9,0.86988,2.1277,0.53926,0.96257,1.0,0.64927,0.027899,0.14166,0.026849,0.096968,0.0093152,0.0032376,0.00010402,0.7271,22009
10,9,0.46094,1.1366,0.22905,0.95565,0.97544,0.71234,0.038286,0.26678,0.11753,0.22041,0.046329,0.016554,0.00064766,1.9866,10009
1,2,0.74173,1.5257,0.36116,0.98152,0.99825,0.79867,0.0052423,0.0050016,0.02416,0.090476,0.0081195,0.002708,7.4846e-05,0.69659,1002
26,4,0.29901,1.0375,0.10761,0.98386,1.0,0.84936,0.011462,0.023912,0.032883,0.096034,0.0091383,0.0025695,0.00018734,1.0837,26004
30,11,0.41933,1.1928,0.30567,0.93428,0.98947,0.50688,0.020948,0.079866,0.057408,0.12508,0.015404,0.003903,0.00045984,1.6497,30011
4,1,0.39432,1.1191,0.17272,0.96806,0.99298,0.73417,0.012499,0.028432,0.073063,0.13718,0.01847,0.0040597,0.00090977,1.8893,4001
9,5,0.64803,1.392,0.41362,0.89752,0.96316,0.50892,0.026737,0.1301,0.058284,0.15033,0.022099,0.0078269,0.00036426,1.184,9005
3,3,0.61289,1.0991,0.33117,0.92405,0.98421,0.61661,0.025545,0.11877,0.054687,0.1606,0.025145,0.011672,0.00012121,1.1076,3003
13,3,0.75285,1.5603,0.38474,0.98701,0.99649,0.78037,0.004611,0.0038695,0.046705,0.11723,0.013556,0.0038164,0.00028371,1.3539,13003
25,6,0.7831,1.5389,0.42639,0.94648,0.97544,0.65478,0.038706,0.27266,0.12607,0.24469,0.056492,0.023259,0.00066766,1.8504,25006
27,6,0.81354,1.6924,0.41016,0.99256,1.0,0.78909,0.0046348,0.0039096,0.031342,0.096493,0.0092251,0.0028704,0.00017007,1.0171,27006
1,5,0.82301,1.7707,0.44462,0.97698,1.0,0.75493,0.007428,0.010042,0.0079379,0.045339,0.0020514,0.00055986,2.3504e-05,0.34214,1005
12,8,0.90037,2.3499,0.60125,0.93713,0.98421,0.46172,0.03166,0.18242,0.096235,0.18081,0.031658,0.0105,0.00050824,2.3052,12008
12,12,0.87259,2.1845,0.56922,0.93969,0.99474,0.52611,0.044598,0.36199,0.060388,0.14227,0.019839,0.0062705,0.00031494,1.4969,12012
28,10,0.92081,2.9198,0.65845,0.96861,0.99825,0.52299,0.011587,0.024437,0.064788,0.16842,0.027581,0.01122,0.00024357,1.2406,28010
7,2,0.83755,1.5634,0.53329,0.76697,0.95088,0.27825,0.039592,0.28528,0.023152,0.087838,0.0076564,0.0028187,5.6309e-05,0.8079,7002
4,7,0.39289,1.1286,0.17039,0.96405,1.0,0.79407,0.011761,0.025176,0.025409,0.078211,0.0060798,0.0015299,0.00015762,1.0326,4007
9,2,0.53941,1.278,0.32286,0.91793,0.97368,0.63545,0.034884,0.22147,0.060967,0.15124,0.022362,0.0076389,0.00043953,1.2541,9002
5,10,0.86224,1.7434,0.62464,0.85754,0.89298,0.32238,0.050792,0.46952,0.064428,0.16335,0.025989,0.010189,0.00023873,1.3343,5010
36,2,0.47124,1.1349,0.81159,0.65915,0.47368,0.093982,0.096492,1.6945,0.098618,0.21062,0.042478,0.016848,0.00058101,1.5913,36002
33,5,0.69398,1.4542,0.32457,0.98263,0.99474,0.79449,0.0063863,0.0074227,0.079016,0.16552,0.026666,0.0079652,0.00077178,1.5438,33005
9,13,0.59837,1.3539,0.35704,0.93647,0.99825,0.64448,0.019818,0.071484,0.045326,0.13137,0.016966,0.0059817,0.0003532,0.93682,9013
6,3,0.47728,1.2115,0.68343,0.76364,0.56667,0.23896,0.10747,2.1022,0.024036,0.080623,0.0064581,0.0018312,0.00010648,0.90702,6003
25,8,0.83094,1.6643,0.49439,0.96016,0.99649,0.65605,0.023841,0.10345,0.12266,0.24766,0.057789,0.025308,0.00078336,1.7001,25008
13,1,0.71763,1.5041,0.33723,0.98803,1.0,0.82342,0.0040421,0.0029736,0.050064,0.12542,0.015486,0.0046629,0.00027091,1.3598,13001
30,4,0.55518,1.2318,0.25226,0.94783,0.99123,0.54965,0.015115,0.041582,0.059148,0.13996,0.019211,0.0057336,0.00042099,1.3579,30004
33,1,0.69887,1.4947,0.34694,0.97906,1.0,0.74423,0.0070445,0.0090318,0.067277,0.15809,0.024383,0.0079843,0.00066857,1.2554,33001
34,4,0.99841,16.832,0.94116,0.85531,0.9,0.094537,0.035845,0.23384,0.012341,0.066682,0.0044268,0.0017052,1.7724e-05,0.41828,34004
13,5,0.63969,1.3612,0.28845,0.98738,1.0,0.82125,0.0042318,0.0032593,0.080446,0.15813,0.024394,0.0066506,0.00067629,1.8274,13005
7,4,0.82602,1.6637,0.49244,0.8862,0.99298,0.57136,0.022152,0.089306,0.034444,0.1012,0.010138,0.0030708,0.00016513,1.1047,7004
30,3,0.2458,1.1011,0.20617,0.94995,0.99298,0.53189,0.012818,0.029901,0.14279,0.20537,0.04047,0.0090273,0.0018094,2.579,30003
24,7,0.44567,1.2107,0.20257,0.97104,0.99123,0.80094,0.016177,0.047628,0.020632,0.074115,0.0054631,0.0013865,0.00016174,0.66423,24007
26,7,0.322,1.0698,0.13626,0.98017,0.99825,0.81953,0.012913,0.030347,0.076267,0.18383,0.03269,0.014159,0.00026309,1.4955,26007
23,1,0.61823,1.2435,0.33084,0.94147,0.9614,0.64089,0.024255,0.10708,0.017543,0.09745,0.0094072,0.0051286,1.2841e-05,0.37324,23001
35,3,0.90755,2.582,0.62394,0.96837,0.99825,0.55674,0.031714,0.18305,0.079387,0.16213,0.025613,0.0074124,0.00069878,1.6951,35003
11,1,0.51247,1.1116,0.65626,0.57724,0.59298,0.16867,0.11187,2.2776,0.016001,0.061238,0.0037361,0.00087861,0.00010284,0.6508,11001
34,3,0.9967,11.361,0.914,0.91815,0.93684,0.14435,0.019976,0.072629,0.020667,0.085514,0.0072595,0.0028469,4.6487e-05,0.67925,34003
22,5,0.9456,3.1174,0.70912,0.79489,0.89298,0.33915,0.13457,3.2956,0.052685,0.14875,0.021648,0.008569,0.00025614,1.0503,22005
10,1,0.44941,1.1374,0.38458,0.90736,0.97368,0.54595,0.047809,0.41601,0.11385,0.18608,0.033467,0.0082395,0.0012682,2.2422,10001
35,4,0.91708,2.6498,0.62919,0.98493,1.0,0.57926,0.0068053,0.0084289,0.082187,0.16877,0.027693,0.0085027,0.00064002,1.7157,35004
11,3,0.43425,1.095,0.68828,0.52398,0.54211,0.15396,0.13761,3.4462,0.021147,0.073202,0.0053299,0.00134,0.00016376,0.75496,11003
6,7,0.71847,1.2291,0.693,0.75574,0.66667,0.26004,0.098823,1.7774,0.021217,0.073201,0.0053299,0.0013612,0.00012452,0.79862,6007
15,4,0.60319,1.088,0.51739,0.7638,0.90175,0.23802,0.077022,1.0797,0.10994,0.17976,0.031303,0.0088846,0.00087888,2.6613,15004
3,7,0.60803,1.0646,0.3446,0.90487,0.99649,0.67517,0.031915,0.18538,0.06245,0.16411,0.026225,0.010602,0.00022964,1.2307,3007
29,8,0.8187,1.9126,0.47835,0.94904,0.99298,0.58585,0.03806,0.26364,0.0050219,0.034026,0.0011564,0.00029213,1.5463e-05,0.26037,29008
8,2,0.98487,6.0229,0.83628,0.96522,1.0,0.29509,0.024667,0.11074,0.0303,0.097095,0.0093394,0.0027833,0.00018341,0.85025,8002
29,5,0.82924,1.8903,0.47248,0.96435,0.99825,0.661,0.023836,0.10341,0.0057361,0.037634,0.0014143,0.00036897,1.3273e-05,0.27099,29005
12,7,0.92479,2.5638,0.62255,0.96226,0.97895,0.57504,0.0097927,0.017453,0.026156,0.10029,0.009958,0.0040505,4.4661e-05,0.77718,12007
5,9,0.88172,1.774,0.63974,0.8499,0.87368,0.34354,0.051776,0.4879,0.06103,0.1519,0.022554,0.0080813,0.00025039,1.3805,5009
